date,bike_rides_daily,Unnamed: 0,avgTemp,_merge2
2022-01-01,20428,0,11.6,both
2022-01-02,43009,1,11.4,both
2022-01-03,33189,2,1.4,both
2022-01-04,36842,3,-2.7,both
2022-01-05,34230,4,3.2,both
2022-01-06,44787,5,4.9,both
2022-01-07,17401,6,0.7,both
2022-01-08,24455,7,-2.5,both
2022-01-09,21479,8,1.4,both
2022-01-10,34727,9,1.6,both
2022-01-11,26824,10,-5.4,both
2022-01-12,40568,11,-1.9,both
2022-01-13,50572,12,4.0,both
2022-01-14,45714,13,4.8,both
2022-01-15,22839,14,-6.7,both
2022-01-16,20930,15,-8.0,both
2022-01-17,29084,16,3.9,both
2022-01-18,42935,17,1.8,both
2022-01-19,54011,18,3.2,both
2022-01-20,33928,19,5.1,both
2022-01-21,33598,20,-6.0,both
2022-01-22,31969,21,-5.9,both
2022-01-23,32967,22,-0.7,both
2022-01-24,41488,23,-0.2,both
2022-01-25,50692,24,3.6,both
2022-01-26,42005,25,-2.3,both
2022-01-27,43830,26,-4.2,both
2022-01-28,34871,27,0.1,both
2022-01-29,2848,28,-4.8,both
2022-01-30,9486,29,-7.1,both
2022-01-31,22349,30,-3.4,both
2022-02-01,29338,31,-1.7,both
2022-02-02,41947,32,2.3,both
2022-02-03,26568,33,6.4,both
2022-02-04,20309,34,5.8,both
2022-02-05,29638,35,-2.8,both
2022-02-06,28887,36,-4.8,both
2022-02-07,30717,37,0.5,both
2022-02-08,51893,38,4.1,both
2022-02-09,56007,39,2.8,both
2022-02-10,61937,40,6.3,both
2022-02-11,64614,41,8.6,both
2022-02-12,68575,42,11.8,both
2022-02-13,20384,43,2.8,both
2022-02-14,34198,44,-4.3,both
2022-02-15,40550,45,-4.7,both
2022-02-16,53683,46,1.6,both
2022-02-17,67432,47,11.6,both
2022-02-18,47038,48,9.9,both
2022-02-19,32450,49,0.1,both
2022-02-20,31051,50,-2.6,both
2022-02-21,52366,51,4.1,both
2022-02-22,36459,52,5.6,both
2022-02-23,66325,53,14.4,both
2022-02-24,44725,54,1.1,both
2022-02-25,30412,55,0.8,both
2022-02-26,41415,56,-1.1,both
2022-02-27,42805,57,2.4,both
2022-02-28,45636,58,0.8,both
2022-03-01,56019,59,2.6,both
2022-03-02,67108,60,7.7,both
2022-03-03,55408,61,5.6,both
2022-03-04,49704,62,-1.9,both
2022-03-05,51358,63,3.1,both
2022-03-06,54531,64,9.6,both
2022-03-07,67882,65,18.2,both
2022-03-08,62178,66,8.7,both
2022-03-09,28088,67,3.2,both
2022-03-10,66071,68,4.0,both
2022-03-11,69316,69,7.2,both
2022-03-12,19628,70,5.1,both
2022-03-13,30833,71,-2.3,both
2022-03-14,63206,72,5.3,both
2022-03-15,78946,73,11.6,both
2022-03-16,81449,74,13.6,both
2022-03-17,50004,75,8.2,both
2022-03-18,92837,76,13.9,both
2022-03-19,77861,77,13.1,both
2022-03-20,65417,78,14.3,both
2022-03-21,73209,79,10.4,both
2022-03-22,75235,80,10.7,both
2022-03-23,60865,81,7.2,both
2022-03-24,45793,82,5.7,both
2022-03-25,74873,83,9.6,both
2022-03-26,62151,84,10.4,both
2022-03-27,45625,85,5.9,both
2022-03-28,38135,86,-1.5,both
2022-03-29,48426,87,-1.2,both
2022-03-30,61254,88,2.6,both
2022-03-31,72625,89,9.9,both
2022-04-01,68479,90,13.1,both
2022-04-02,73254,91,7.2,both
2022-04-03,37164,92,7.0,both
2022-04-04,68902,93,7.6,both
2022-04-05,72629,94,9.7,both
2022-04-06,48443,95,8.6,both
2022-04-07,35322,96,9.1,both
2022-04-08,88195,97,12.8,both
2022-04-09,67329,98,11.4,both
2022-04-10,57144,99,8.6,both
2022-04-11,75355,100,8.8,both
2022-04-12,93575,101,13.4,both
2022-04-13,98764,102,15.4,both
2022-04-14,90635,103,16.3,both
2022-04-15,99636,104,15.7,both
2022-04-16,82188,105,15.7,both
2022-04-17,54110,106,8.3,both
2022-04-18,55811,107,7.9,both
2022-04-19,58873,108,7.6,both
2022-04-20,85294,109,9.4,both
2022-04-21,77520,110,10.6,both
2022-04-22,97494,111,14.6,both
